=== Log opened UTC 2021-12-11 11:23:52
2021-12-11 11:23:52.747 INFO    APP: Command line: "C:\Program Files\Eagle Dynamics\DCS World Server 1\bin\DCS.exe"  --norender --server -w StableServer1
2021-12-11 11:23:52.747 INFO    APP: DCS/2.7.7.15038 (x86_64; Windows NT 10.0.17763)
2021-12-11 11:23:52.748 INFO    APP: Application revision: 195037
2021-12-11 11:23:52.748 INFO    APP: Renderer revision: 22490
2021-12-11 11:23:52.748 INFO    APP: Terrain revision: 22438
2021-12-11 11:23:52.748 INFO    APP: Build number: 687
2021-12-11 11:23:52.748 INFO    APP: CPU cores: 6, threads: 12, System RAM: 130998 MB, Pagefile: 19456 MB
2021-12-11 11:23:52.952 INFO    EDCORE: (dDispatcher)enterToState_:0
2021-12-11 11:23:52.963 INFO    Dispatcher: 2021/12/11 03:23 V1803061700
2021-12-11 11:23:52.995 INFO    NET: ProtocolVersion: 272
2021-12-11 11:23:53.001 INFO    SOUND: Using driver: wasapi
2021-12-11 11:23:53.001 INFO    SOUND: Found 0 available audio device(s):
2021-12-11 11:23:53.002 INFO    Dispatcher: InitLow
2021-12-11 11:23:53.144 INFO    EDCORE: Loaded C:/Program Files/Eagle Dynamics/DCS World Server 1/bin/CockpitBase.dll
2021-12-11 11:23:53.864 INFO    NET: Login success.
2021-12-11 11:23:55.101 INFO    NET: Got auth data.
2021-12-11 11:23:55.364 INFO    APP: Successfully got authorization data.
2021-12-11 11:23:55.367 INFO    Dispatcher: Loading installed modules...
2021-12-11 11:23:55.937 INFO    SECURITYCONTROL: Loaded mods/tech/wwii units/dcs_module.pak.crypt
2021-12-11 11:24:01.289 INFO    Scripting: OBSOLETE mount_vfs_sound_path() used in ./CoreMods/aircraft/AJS37/entry.lua
2021-12-11 11:24:01.784 INFO    Scripting: PLUGINS START-------------------------------------------------
2021-12-11 11:24:01.830 INFO    SOUND: Added sound path: ./CoreMods/tech/Animals/Sounds
2021-12-11 11:24:01.854 INFO    SOUND: Added sound path: ./CoreMods/tech/TechWeaponPack/Sounds
2021-12-11 11:24:01.854 ERROR   SOUND: can't open proto file "/sounds/2/sdef/gndtech/defaultvehicle.sdef"
2021-12-11 11:24:01.854 ERROR   SOUND: failed to load sdef GndTech/DefaultVehicle referenced in /sounds/2/sdef.tar:GndTech/Chrysler_A57_Multibank_EngineAccEnd.sdef
2021-12-11 11:24:01.854 ERROR   SOUND: can't open proto file "/sounds/2/sdef/gndtech/defaultvehicle.sdef"
