CHAT: Apr 18 06:54:07 {name  = "AstroWing", ucid = "e58d630cb197508be8faf521b0e12c9a", ip = "173.238.165.166:49867", id = 7} said "game crashed lol" to all
CHAT: Apr 18 06:57:17 {name  = "Cheeks 1-2", ucid = "413c75cb1885c01efeac1169bf797567", ip = "68.230.118.22:51705", id = 2} said "Ass = Mad" to all
CHAT: Apr 18 07:26:47 {name  = "sassy", ucid = "ed23023a97fd40b62f8f5419351da151", ip = "102.250.3.247:36672", id = 15} said "dang first time playing with new update" to all
CHAT: Apr 18 07:26:48 {name  = "sassy", ucid = "ed23023a97fd40b62f8f5419351da151", ip = "102.250.3.247:36672", id = 15} said "so sexy" to all
CHAT: Apr 18 07:27:01 {name  = "Cheem", ucid = "ad212b847bb1a98dc1a43de377f5c5f9", ip = "47.187.9.129:50966", id = 12} said "indeed" to all
CHAT: Apr 18 07:46:53 {name  = "sassy", ucid = "ed23023a97fd40b62f8f5419351da151", ip = "102.250.3.247:36672", id = 15} said "first time playing in 3 months and 2 splashes" to all
CHAT: Apr 18 07:46:55 {name  = "sassy", ucid = "ed23023a97fd40b62f8f5419351da151", ip = "102.250.3.247:36672", id = 15} said "not too rusty" to all
CHAT: Apr 18 07:55:23 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "array monkey" to all
CHAT: Apr 18 07:55:26 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "RTB mate" to all
CHAT: Apr 18 07:55:35 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "you have training missles" to all
CHAT: Apr 18 07:59:03 {name  = "EMPTyXp1M_", ucid = "caaedca0dbd017e833b05b484ab43bfd", ip = "49.228.144.219:64522", id = 27} said "..." to all
CHAT: Apr 18 08:03:40 {name  = "Kimbab", ucid = "f090b84f30ba671305ac82726afaf993", ip = "221.165.61.212:56538", id = 16} said "wow" to all
CHAT: Apr 18 08:10:30 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "Hya6 dump tanks mate!" to all
CHAT: Apr 18 08:10:52 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "pull power and pull hard on the stick" to all
CHAT: Apr 18 08:11:02 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "roll" to all
CHAT: Apr 18 08:11:12 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "rudder rudder rudder nose" to all
CHAT: Apr 18 08:11:15 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "GO" to all
CHAT: Apr 18 08:11:17 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "burn !" to all
CHAT: Apr 18 08:11:25 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "swing left" to all
CHAT: Apr 18 08:11:34 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "right\" to all
CHAT: Apr 18 08:11:40 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "hard right" to all
CHAT: Apr 18 08:12:48 {name  = "Hya6", ucid = "e74dc66df906a94f3cdc531a76a6411f", ip = "86.108.60.222:3123", id = 6} said "I swear this game needs to be fixed" to all
CHAT: Apr 18 08:12:55 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "not really dude" to all
CHAT: Apr 18 08:12:57 {name  = "Hya6", ucid = "e74dc66df906a94f3cdc531a76a6411f", ip = "86.108.60.222:3123", id = 6} said "AI not having any G effects or anything" to all
CHAT: Apr 18 08:12:57 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "i was watching" to all
CHAT: Apr 18 08:13:07 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "he has you outmatchewd" to all
CHAT: Apr 18 08:13:12 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "he has thrust vector" to all
CHAT: Apr 18 08:13:13 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "you dont" to all
CHAT: Apr 18 08:13:16 {name  = "Hya6", ucid = "e74dc66df906a94f3cdc531a76a6411f", ip = "86.108.60.222:3123", id = 6} said "I fked up last fight" to all
CHAT: Apr 18 08:13:21 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "ill go get him" to all
CHAT: Apr 18 08:13:23 {name  = "Hya6", ucid = "e74dc66df906a94f3cdc531a76a6411f", ip = "86.108.60.222:3123", id = 6} said "But the first the speed he has to turn" to all
CHAT: Apr 18 08:13:26 {name  = "Hya6", ucid = "e74dc66df906a94f3cdc531a76a6411f", ip = "86.108.60.222:3123", id = 6} said "I cant turn" to all
CHAT: Apr 18 08:13:34 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "just watch me ill avenge ya" to all
CHAT: Apr 18 08:16:12 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "he shall pay for his crimes" to all
CHAT: Apr 18 08:16:50 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "wow" to all
CHAT: Apr 18 08:16:54 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "he slammed into a mountain" to all
CHAT: Apr 18 08:16:55 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "coward!" to all
CHAT: Apr 18 08:17:04 {name  = "Hya6", ucid = "e74dc66df906a94f3cdc531a76a6411f", ip = "86.108.60.222:3123", id = 6} said "xd" to all
CHAT: Apr 18 08:17:15 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "fucker made me waste a missle" to all
CHAT: Apr 18 08:17:23 {name  = "Hya6", ucid = "e74dc66df906a94f3cdc531a76a6411f", ip = "86.108.60.222:3123", id = 6} said "I love the f14b man ahhhhh" to all
CHAT: Apr 18 08:17:28 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "i dont" to all
CHAT: Apr 18 08:17:29 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "lol" to all
CHAT: Apr 18 08:17:33 {name  = "Hya6", ucid = "e74dc66df906a94f3cdc531a76a6411f", ip = "86.108.60.222:3123", id = 6} said "Maybe next time there is better sales I'll get it" to all
CHAT: Apr 18 08:17:33 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "im still fuckin learning it" to all
CHAT: Apr 18 08:17:40 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "get the 16 first" to all
CHAT: Apr 18 08:17:41 {name  = "MR.Aviation", ucid = "f2e7fbbe878d630b000a53f85e7d4d1b", ip = "73.204.47.13:51788", id = 3} said "how" to all
CHAT: Apr 18 08:17:44 {name  = "MR.Aviation", ucid = "f2e7fbbe878d630b000a53f85e7d4d1b", ip = "73.204.47.13:51788", id = 3} said "its so good" to all
CHAT: Apr 18 08:17:58 {name  = "MR.Aviation", ucid = "f2e7fbbe878d630b000a53f85e7d4d1b", ip = "73.204.47.13:51788", id = 3} said "the f-14 is a destroyer of worlds" to all
CHAT: Apr 18 08:17:58 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "i like the 14 for different reasons" to all
CHAT: Apr 18 08:18:07 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "whene everything works" to all
CHAT: Apr 18 08:18:09 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "yes" to all
CHAT: Apr 18 08:18:13 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "if ANYTHING breaks" to all
CHAT: Apr 18 08:18:15 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "you're fucked" to all
CHAT: Apr 18 08:18:27 {name  = "MR.Aviation", ucid = "f2e7fbbe878d630b000a53f85e7d4d1b", ip = "73.204.47.13:51788", id = 3} said "lmao sometimes jester just has a strokw and dies" to all
CHAT: Apr 18 08:18:35 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "exactly" to all
CHAT: Apr 18 08:18:47 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "also the 16 out turns the 14 if it gets anywhere near the 14" to all
CHAT: Apr 18 08:18:55 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "ive fought plenty in the pvp events here" to all
CHAT: Apr 18 08:19:53 {name  = "MR.Aviation", ucid = "f2e7fbbe878d630b000a53f85e7d4d1b", ip = "73.204.47.13:51788", id = 3} said "hmmmm ive outturned vipers before" to all
CHAT: Apr 18 08:19:56 {name  = "MR.Aviation", ucid = "f2e7fbbe878d630b000a53f85e7d4d1b", ip = "73.204.47.13:51788", id = 3} said "in te tomcat" to all
CHAT: Apr 18 08:20:00 {name  = "Hya6", ucid = "e74dc66df906a94f3cdc531a76a6411f", ip = "86.108.60.222:3123", id = 6} said "I love the f15!!!! man the energy in it..." to all
CHAT: Apr 18 08:20:07 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "must notta been great 16 pilot mate" to all
CHAT: Apr 18 08:20:22 {name  = "MR.Aviation", ucid = "f2e7fbbe878d630b000a53f85e7d4d1b", ip = "73.204.47.13:51788", id = 3} said "most likely" to all
CHAT: Apr 18 08:20:34 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "ive fought maaany 14s mainly buds" to all
CHAT: Apr 18 08:20:39 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "I loved to play peekabo" to all
