CHAT: Feb 28 03:10:48 {name  = "Bad Idea Hat", ucid = "bbf19995f3fd39fb3a7efda3063b4b66", ip = "184.54.123.71:64220", id = 5} said "-motd" to all (output suppressed by Slmod)
CHAT: Feb 28 03:25:15 {name  = "Hooker", ucid = "d895aa103fd36a262b992e34cb181ffb", ip = "66.27.72.105:8132", id = 15} said "squirrels need help?" to all
CHAT: Feb 28 03:25:35 {name  = "MrSquirrels", ucid = "283bee3dd6d723c6c05cf1cf81c08cd4", ip = "137.119.126.209:53338", id = 3} said "yes. lol snuck up on me" to all
CHAT: Feb 28 03:26:13 {name  = "MrSquirrels", ucid = "283bee3dd6d723c6c05cf1cf81c08cd4", ip = "137.119.126.209:53338", id = 3} said "ty" to all
CHAT: Feb 28 03:26:17 {name  = "Hooker", ucid = "d895aa103fd36a262b992e34cb181ffb", ip = "66.27.72.105:8132", id = 15} said "np :)" to all
CHAT: Feb 28 03:26:49 {name  = "PONTIAC 2-1", ucid = "4fb06903538e1a38e46b95b7ae67c074", ip = "24.255.40.168:51569", id = 13} said "bruh how do you get out of dogfight mode on the f16" to all
CHAT: Feb 28 03:26:53 {name  = "PONTIAC 2-1", ucid = "4fb06903538e1a38e46b95b7ae67c074", ip = "24.255.40.168:51569", id = 13} said "geek ass question i know" to all
CHAT: Feb 28 03:26:56 {name  = "Hooker", ucid = "d895aa103fd36a262b992e34cb181ffb", ip = "66.27.72.105:8132", id = 15} said "press 3 key" to all
CHAT: Feb 28 03:27:05 {name  = "PONTIAC 2-1", ucid = "4fb06903538e1a38e46b95b7ae67c074", ip = "24.255.40.168:51569", id = 13} said "bruh im so dumb" to all
CHAT: Feb 28 03:27:06 {name  = "PONTIAC 2-1", ucid = "4fb06903538e1a38e46b95b7ae67c074", ip = "24.255.40.168:51569", id = 13} said "thc" to all
CHAT: Feb 28 03:27:10 {name  = "PONTIAC 2-1", ucid = "4fb06903538e1a38e46b95b7ae67c074", ip = "24.255.40.168:51569", id = 13} said "thx" to all
CHAT: Feb 28 03:28:06 {name  = "lcabc", ucid = "d721fb0459fc459a96c157a124904c81", ip = "68.105.189.155:50742", id = 17} said "haha" to all
CHAT: Feb 28 03:33:17 {name  = "BraydenM8", ucid = "eb2e9de57675fa50eb4a078ce084fb01", ip = "75.137.140.186:50675", id = 23} said "hellooo" to all
TEAM HIT: Feb 28 03:33:39 {players = {1 = {name  = "HeavyGun1450", ucid = "c1ae10615fed0eb411e7f1252404eb24", ip = "24.101.17.131:58444", id = 11}1 = {name = NORTH_CVN_2 with F/A-18C Lot 20
TEAM HIT: Feb 28 03:34:11 {players = {1 = {name  = "HeavyGun1450", ucid = "c1ae10615fed0eb411e7f1252404eb24", ip = "24.101.17.131:58444", id = 11}1 = {name = NORTH_CVN_2 with F/A-18C Lot 20
CHAT: Feb 28 03:35:55 {name  = "Hooker", ucid = "d895aa103fd36a262b992e34cb181ffb", ip = "66.27.72.105:8132", id = 15} said "shit" to all
CHAT: Feb 28 03:36:28 {name  = "lcabc", ucid = "d721fb0459fc459a96c157a124904c81", ip = "68.105.189.155:50742", id = 17} said "can a plane land on a TURNING carrier?" to all
TEAM HIT: Feb 28 03:45:47 {players = {1 = {name  = "deka-17", ucid = "b36257aafeee1c52655d91580c568b58", ip = "77.133.70.96:60671", id = 18}1 = {name = New Static Object #104 with kamikaze
TEAM HIT: Feb 28 03:45:47 {players = {1 = {name  = "deka-17", ucid = "b36257aafeee1c52655d91580c568b58", ip = "77.133.70.96:60671", id = 18}1 = {name = New Static Object #099 with kamikaze
TEAM KILL: Feb 28 03:45:48 {players = {1 = {name  = "deka-17", ucid = "b36257aafeee1c52655d91580c568b58", ip = "nil", id = 18}1 = {name = New Static Object #099 with kamikaze
TEAM KILL: Feb 28 03:45:49 {players = {1 = {name  = "deka-17", ucid = "b36257aafeee1c52655d91580c568b58", ip = "nil", id = 18}1 = {name = New Static Object #104 with kamikaze
TEAM HIT: Feb 28 03:51:05 {players = {1 = {name  = "Intrepid 1-1 | NanoTrasen", ucid = "a3e7814dca575cf57d03261cf4ea9437", ip = "68.13.3.220:50512", id = 19}1 = {name = easy with F/A-18C Lot 20
TEAM HIT: Feb 28 03:51:06 {players = {1 = {name  = "easy", ucid = "551a914e556d22f60b4924d336821778", ip = "49.51.160.13:56040", id = 25}1 = {name = Intrepid 1-1 | NanoTrasen with F/A-18C Lot 20
TEAM KILL: Feb 28 03:51:49 {players = {1 = {name  = "easy", ucid = "551a914e556d22f60b4924d336821778", ip = "nil", id = 25}1 = {name = Intrepid 1-1 | NanoTrasen with F/A-18C Lot 20
CHAT: Feb 28 03:52:01 {name  = "Intrepid 1-1 | NanoTrasen", ucid = "a3e7814dca575cf57d03261cf4ea9437", ip = "68.13.3.220:50512", id = 19} said "-motd" to all (output suppressed by Slmod)
CHAT: Feb 28 03:52:20 {name  = "Waldkraut", ucid = "05d08090feadde07c511d1a75c5e031c", ip = "31.10.147.161:14834", id = 2} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:20 {name  = "MrSquirrels", ucid = "283bee3dd6d723c6c05cf1cf81c08cd4", ip = "137.119.126.209:53338", id = 3} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:20 {name  = "BILE 2 | Jabby", ucid = "d3a710be370c5a8976c33bb3df4e217b", ip = "203.213.30.68:51478", id = 4} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:20 {name  = "DL72", ucid = "4bd9d94e5e3d75de25d202146d70f6b6", ip = "45.36.211.212:62121", id = 5} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:20 {name  = "blazeystorm", ucid = "73b5f49f9dc6be489c1ae35ac5d74727", ip = "162.218.217.51:19214", id = 6} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:20 {name  = "NightMan", ucid = "c7058d7557faf515cbcc73f4a80545b7", ip = "149.90.10.73:50256", id = 7} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:20 {name  = "NorciM", ucid = "bd79abd64b10ed6716df44ada7030059", ip = "178.195.136.121:53033", id = 8} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:20 {name  = "Lt.Mitchel", ucid = "9dc22cfed0bb42167f1c17162f393e27", ip = "76.103.17.123:50681", id = 9} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:20 {name  = "Lt Muff", ucid = "da6c9ee81d88b46b87e7895aabd63a02", ip = "173.238.100.99:62454", id = 10} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:20 {name  = "HeavyGun1450", ucid = "c1ae10615fed0eb411e7f1252404eb24", ip = "24.101.17.131:58444", id = 11} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:20 {name  = "[APAF] Capt. Fumes", ucid = "2f4163b367e63177a5a1a7bf858a8e76", ip = "99.237.11.138:8515", id = 12} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:21 {name  = "PONTIAC 2-1", ucid = "4fb06903538e1a38e46b95b7ae67c074", ip = "24.255.40.168:51569", id = 13} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:21 {name  = "Sidewinder147", ucid = "b764abed10b29f385d00923c3d56a89c", ip = "96.59.59.4:51327", id = 14} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:21 {name  = "Hooker", ucid = "d895aa103fd36a262b992e34cb181ffb", ip = "66.27.72.105:8132", id = 15} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:21 {name  = "SabineX", ucid = "5aa4d557909b1586581ad2bd8cb1be17", ip = "89.73.3.36:62896", id = 16} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:21 {name  = "deka-17", ucid = "b36257aafeee1c52655d91580c568b58", ip = "77.133.70.96:60671", id = 18} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:21 {name  = "Intrepid 1-1 | NanoTrasen", ucid = "a3e7814dca575cf57d03261cf4ea9437", ip = "68.13.3.220:50512", id = 19} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:21 {name  = "Smoke", ucid = "d11cfb86c8e55b3fc31abd6c174d306b", ip = "69.57.218.7:50855", id = 20} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:21 {name  = "Shekel 1-2 |[115✡︎]Calgon", ucid = "ff5cfd4ed40ba2b5ca643d349567b69a", ip = "188.222.85.221:54154", id = 21} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:21 {name  = "Highway", ucid = "e1fb37dc10fdafd749a1990b9e4d4e43", ip = "117.20.68.81:15193", id = 22} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:21 {name  = "[GER]Megges_84", ucid = "37f191999aeeecd505d45d5a834a8388", ip = "93.241.193.54:18058", id = 23} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:21 {name  = "Frogface", ucid = "9e768bfb302ca9381a4219dad3a92888", ip = "86.190.80.182:59817", id = 24} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:21 {name  = "easy", ucid = "551a914e556d22f60b4924d336821778", ip = "49.51.160.13:56040", id = 25} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:21 {name  = "OnionChickenWithMeatEgg", ucid = "c3347ea8421921407caefd3fd320b2c0", ip = "49.51.134.212:10731", id = 26} said "SLMOD INFO: Player "easy" is getting autokicked back to spectator" to all
CHAT: Feb 28 03:52:21 {name  = "Intrepid 1-1 | NanoTrasen", ucid = "a3e7814dca575cf57d03261cf4ea9437", ip = "68.13.3.220:50512", id = 19} said "-punish" to all (output suppressed by Slmod)
TEAM HIT: Feb 28 03:56:43 {players = {1 = {name  = "[APAF] Capt. Fumes", ucid = "2f4163b367e63177a5a1a7bf858a8e76", ip = "99.237.11.138:8515", id = 12}1 = {name = Lt Muff with F/A-18C Lot 20
TEAM HIT: Feb 28 03:56:43 {players = {1 = {name  = "[APAF] Capt. Fumes", ucid = "2f4163b367e63177a5a1a7bf858a8e76", ip = "99.237.11.138:8515", id = 12}1 = {name = Lt Muff with F/A-18C Lot 20
TEAM KILL: Feb 28 03:57:32 {players = {1 = {name  = "[APAF] Capt. Fumes", ucid = "2f4163b367e63177a5a1a7bf858a8e76", ip = "nil", id = 12}1 = {name = Lt Muff with F/A-18C Lot 20
TEAM KILL: Feb 28 04:01:12 {players = {1 = {name  = "Intrepid 1-1 | NanoTrasen", ucid = "a3e7814dca575cf57d03261cf4ea9437", ip = "nil", id = 19}1 = {name = Pilot #792 with F/A-18C Lot 20
