CHAT: May 26 15:33:22 {name  = "Captain Poonslay", ucid = "e100b1b187882be1c97f756442769b66", ip = "69.130.247.5:51830", id = 16} said "LMAOOOO IM DRIFTIN LIKE A MADMAN BRUH" to all
CHAT: May 26 16:39:59 {name  = "Akiro", ucid = "c6ffe5b6e68d45b99d673f7b227289e7", ip = "5.136.238.227:50701", id = 6} said "emergency land in maycop-hanskaya" to all
CHAT: May 26 16:40:48 {name  = "|269| Calgon", ucid = "ff5cfd4ed40ba2b5ca643d349567b69a", ip = "81.96.196.100:54796", id = 5} said "-admin" to all (output suppressed by Slmod)
CHAT: May 26 16:42:05 {name  = "|269| Calgon", ucid = "ff5cfd4ed40ba2b5ca643d349567b69a", ip = "81.96.196.100:54796", id = 5} said "-admin spec Struger" to all (output suppressed by Slmod)
CHAT: May 26 16:42:05 {name  = "kitar", ucid = "be1b51b384316eaf0039d2f3d47e7cde", ip = "91.60.65.156:58432", id = 2} said "Slmod: server admin "[115AGR✡]Calgon" kicked player "Struger" to spectators." to all
CHAT: May 26 16:42:05 {name  = "McDave", ucid = "55ab2f22077de3667ca555cbb8ad1fb2", ip = "46.128.33.28:51997", id = 3} said "Slmod: server admin "[115AGR✡]Calgon" kicked player "Struger" to spectators." to all
CHAT: May 26 16:42:05 {name  = "Zero_A6M2", ucid = "9283a5bec5cc8bd514d8bbca6ea17e1d", ip = "95.223.77.18:65278", id = 4} said "Slmod: server admin "[115AGR✡]Calgon" kicked player "Struger" to spectators." to all
CHAT: May 26 16:42:05 {name  = "|269| Calgon", ucid = "ff5cfd4ed40ba2b5ca643d349567b69a", ip = "81.96.196.100:54796", id = 5} said "Slmod: server admin "[115AGR✡]Calgon" kicked player "Struger" to spectators." to all
CHAT: May 26 16:42:05 {name  = "Akiro", ucid = "c6ffe5b6e68d45b99d673f7b227289e7", ip = "5.136.238.227:50701", id = 6} said "Slmod: server admin "[115AGR✡]Calgon" kicked player "Struger" to spectators." to all
CHAT: May 26 16:42:05 {name  = "Unlucky", ucid = "35d371111b2d1bf7454299469bb88562", ip = "81.223.10.162:52270", id = 7} said "Slmod: server admin "[115AGR✡]Calgon" kicked player "Struger" to spectators." to all
CHAT: May 26 16:42:05 {name  = "Bob_SaintClar", ucid = "7f0350b6cf0a5b172ab2015268106ce1", ip = "90.90.177.236:52624", id = 8} said "Slmod: server admin "[115AGR✡]Calgon" kicked player "Struger" to spectators." to all
