CHAT: Mar 30 20:36:20 {name  = "Struger", ucid = "ee180fcf62694aee2422d4c2541f901b", ip = "83.11.187.100:60595", id = 3} said "it kicked me off wtf" to all
TEAM HIT: Mar 30 21:39:34 {players = {1 = {name  = "Ram 1-2 Bigman", ucid = "f8fae6e12a9d4a19660bd9178ef61245", ip = "83.252.128.230:54922", id = 4}1 = {name = Brappa1000 with F/A-18C Lot 20
TEAM HIT: Mar 30 21:39:34 {players = {1 = {name  = "Brappa1000", ucid = "5b46703ac8fb7dd68999df89aeacd6c5", ip = "98.128.181.47:63113", id = 6}1 = {name = Ram 1-2 Bigman with kamikaze
TEAM HIT: Mar 30 21:39:35 {players = {1 = {name  = "Ram 1-2 Bigman", ucid = "f8fae6e12a9d4a19660bd9178ef61245", ip = "83.252.128.230:54922", id = 4}1 = {name = Brappa1000 with F/A-18C Lot 20
TEAM HIT: Mar 30 21:39:35 {players = {1 = {name  = "Brappa1000", ucid = "5b46703ac8fb7dd68999df89aeacd6c5", ip = "98.128.181.47:63113", id = 6}1 = {name = Ram 1-2 Bigman with kamikaze
TEAM HIT: Mar 30 21:39:35 {players = {1 = {name  = "Ram 1-2 Bigman", ucid = "f8fae6e12a9d4a19660bd9178ef61245", ip = "83.252.128.230:54922", id = 4}1 = {name = Brappa1000 with F/A-18C Lot 20
TEAM HIT: Mar 30 21:39:36 {players = {1 = {name  = "Ram 1-2 Bigman", ucid = "f8fae6e12a9d4a19660bd9178ef61245", ip = "83.252.128.230:54922", id = 4}1 = {name = Brappa1000 with F/A-18C Lot 20
TEAM HIT: Mar 30 21:39:36 {players = {1 = {name  = "Brappa1000", ucid = "5b46703ac8fb7dd68999df89aeacd6c5", ip = "98.128.181.47:63113", id = 6}1 = {name = Ram 1-2 Bigman with kamikaze
TEAM HIT: Mar 30 21:39:36 {players = {1 = {name  = "Ram 1-2 Bigman", ucid = "f8fae6e12a9d4a19660bd9178ef61245", ip = "83.252.128.230:54922", id = 4}1 = {name = Brappa1000 with F/A-18C Lot 20
TEAM HIT: Mar 30 21:39:37 {players = {1 = {name  = "Ram 1-2 Bigman", ucid = "f8fae6e12a9d4a19660bd9178ef61245", ip = "83.252.128.230:54922", id = 4}1 = {name = Brappa1000 with F/A-18C Lot 20
TEAM HIT: Mar 30 21:39:37 {players = {1 = {name  = "Brappa1000", ucid = "5b46703ac8fb7dd68999df89aeacd6c5", ip = "98.128.181.47:63113", id = 6}1 = {name = Ram 1-2 Bigman with kamikaze
TEAM KILL: Mar 30 21:39:44 {players = {1 = {name  = "Ram 1-2 Bigman", ucid = "f8fae6e12a9d4a19660bd9178ef61245", ip = "nil", id = 4}1 = {name = Brappa1000 with F/A-18C Lot 20
