CHAT: Dec 05 16:25:51 {name  = "Horseman 1-2 | Maddog", ucid = "2fdb9ab14d803bedcd1bfc73460d7db5", ip = "47.199.181.92:52807", id = 14} said "hornet you can go" to all
CHAT: Dec 05 16:26:06 {name  = "=WnSd= Andrea_101", ucid = "e16e33d5dac4d14d94c5e0656102978e", ip = "37.117.101.23:49853", id = 11} said "k" to all
CHAT: Dec 05 16:36:23 {name  = "Cpt Zaid", ucid = "c6df2905ec571449d51cd47e48a98fcd", ip = "90.93.218.175:51491", id = 12} said "novo emergency langing" to all
CHAT: Dec 05 17:19:02 {name  = "Cpt Zaid", ucid = "c6df2905ec571449d51cd47e48a98fcd", ip = "90.93.218.175:51491", id = 12} said "krasno landing" to all
TEAM HIT: Dec 05 17:28:12 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:63444", id = 14}1 = {name = New Static Object #087 with AKAN
TEAM HIT: Dec 05 17:28:12 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:63444", id = 14}1 = {name = New Static Object #089 with AKAN
TEAM HIT: Dec 05 17:28:12 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:63444", id = 14}1 = {name = New Static Object #088 with AKAN
TEAM KILL: Dec 05 17:28:13 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "nil", id = 14}1 = {name = New Static Object #089 with AKAN
TEAM KILL: Dec 05 17:28:22 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "nil", id = 14}1 = {name = New Static Object #087 with AKAN
TEAM KILL: Dec 05 17:28:40 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "nil", id = 14}1 = {name = New Static Object #088 with AKAN
CHAT: Dec 05 17:31:42 {name  = "Orion", ucid = "48dac0303c4b7cd5c8dc36fccdc82c84", ip = "79.191.122.191:52313", id = 4} said "Kepler are you locking me?" to all
CHAT: Dec 05 17:32:05 {name  = "ducky 1-1 | Kepler", ucid = "d84baa5c91bf656b093a8f2896a0b85d", ip = "109.189.13.25:57172", id = 2} said "yea IFF crapped out, got it sorted now sorry" to all
CHAT: Dec 05 17:32:12 {name  = "Orion", ucid = "48dac0303c4b7cd5c8dc36fccdc82c84", ip = "79.191.122.191:52313", id = 4} said "OK :-)" to all
CHAT: Dec 05 17:36:16 {name  = "Cpt Zaid", ucid = "c6df2905ec571449d51cd47e48a98fcd", ip = "90.93.218.175:51491", id = 12} said "shot down this su33 please" to all
TEAM HIT: Dec 05 17:46:57 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM KILL: Dec 05 17:46:57 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "nil", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
CHAT: Dec 05 17:47:25 {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:63444", id = 14} said "-forgive" to all (output suppressed by Slmod)
CHAT: Dec 05 18:27:55 {name  = "Cpt Zaid", ucid = "c6df2905ec571449d51cd47e48a98fcd", ip = "90.93.218.175:51491", id = 12} said "mr bean u are" to all
CHAT: Dec 05 18:28:00 {name  = "Cpt Zaid", ucid = "c6df2905ec571449d51cd47e48a98fcd", ip = "90.93.218.175:51491", id = 12} said "a stupid guy" to all
TEAM HIT: Dec 05 18:45:34 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM KILL: Dec 05 18:45:41 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "nil", id = 3}1 = {name = Blair2819 with kamikaze
CHAT: Dec 05 18:46:04 {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10} said "-forgive" to all (output suppressed by Slmod)
TEAM HIT: Dec 05 18:48:04 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 18:48:04 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM KILL: Dec 05 18:48:09 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "nil", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
CHAT: Dec 05 18:48:25 {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3} said ".forgive" to all
CHAT: Dec 05 18:48:34 {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3} said ".forgive" to all
CHAT: Dec 05 18:48:44 {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3} said "-forgive" to all (output suppressed by Slmod)
TEAM HIT: Dec 05 18:52:23 {players = {1 = {name  = "=WnSd= MagicZAZZI", ucid = "3c0716d21ee08f4b6dd0f643ba89407a", ip = "151.66.82.212:50035", id = 14}1 = {name = =WnSd= El_Conte with AIM-120C
TEAM KILL: Dec 05 18:52:29 {players = {1 = {name  = "=WnSd= MagicZAZZI", ucid = "3c0716d21ee08f4b6dd0f643ba89407a", ip = "nil", id = 14}1 = {name = =WnSd= El_Conte with AIM-120C
CHAT: Dec 05 18:53:21 {name  = "=WnSd= El_Conte", ucid = "f9fd461402c976628a67d8d02584ae84", ip = "82.57.9.81:65369", id = 6} said "-forgive" to all (output suppressed by Slmod)
TEAM HIT: Dec 05 19:20:30 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
