CHAT: Apr 16 22:42:01 {name  = "SPLINTER6", ucid = "525fbeb609119824c99ac485a34efc90", ip = "94.6.29.214:62435", id = 8} said "WAYPOINT?" to all
CHAT: Apr 16 23:45:01 {name  = "PinInTheOcean", ucid = "76543aab9a283c5939d9962a8e783b5a", ip = "67.225.7.93:50982", id = 11} said "mtod" to all
CHAT: Apr 16 23:45:16 {name  = "PinInTheOcean", ucid = "76543aab9a283c5939d9962a8e783b5a", ip = "67.225.7.93:50982", id = 11} said "~mtod" to all
CHAT: Apr 16 23:45:24 {name  = "PinInTheOcean", ucid = "76543aab9a283c5939d9962a8e783b5a", ip = "67.225.7.93:50982", id = 11} said "motd" to all
CHAT: Apr 16 23:45:29 {name  = "PinInTheOcean", ucid = "76543aab9a283c5939d9962a8e783b5a", ip = "67.225.7.93:50982", id = 11} said "~motd" to all
CHAT: Apr 16 23:59:53 {name  = "ChadMcdouche", ucid = "9837610eed650d524af40d16034e547a", ip = "84.217.127.6:51276", id = 18} said "damn you atlas!" to all
CHAT: Apr 17 00:10:19 {name  = "extho", ucid = "14df6e7a9cc4b8cd7037005106961a5a", ip = "98.210.56.239:55357", id = 3} said "-motd" to all (output suppressed by Slmod)
CHAT: Apr 17 00:10:31 {name  = "extho", ucid = "14df6e7a9cc4b8cd7037005106961a5a", ip = "98.210.56.239:55357", id = 3} said "-stats me" to all (output suppressed by Slmod)
TEAM HIT: Apr 17 00:28:50 {players = {1 = {name  = "AstroWing", ucid = "e58d630cb197508be8faf521b0e12c9a", ip = "173.238.165.166:61382", id = 10}1 = {name = Keske with AIM-9X
TEAM KILL: Apr 17 00:29:06 {players = {1 = {name  = "AstroWing", ucid = "e58d630cb197508be8faf521b0e12c9a", ip = "nil", id = 10}1 = {name = Keske with AIM-9X
CHAT: Apr 17 00:29:38 {name  = "AstroWing", ucid = "e58d630cb197508be8faf521b0e12c9a", ip = "173.238.165.166:61382", id = 10} said "sorry dude" to all
CHAT: Apr 17 00:29:52 {name  = "Cobra 101 | GreenDotSpeed", ucid = "c39f77d62f6c9e41049c09f8c227d2da", ip = "37.211.39.87:50912", id = 12} said "guys is anyone able to kill anything??" to all
CHAT: Apr 17 00:30:00 {name  = "extho", ucid = "14df6e7a9cc4b8cd7037005106961a5a", ip = "98.210.56.239:55357", id = 3} said "-stats" to all (output suppressed by Slmod)
CHAT: Apr 17 00:30:04 {name  = "extho", ucid = "14df6e7a9cc4b8cd7037005106961a5a", ip = "98.210.56.239:55357", id = 3} said "stats me" to all
