CHAT: Jan 01 22:32:43 {name  = "LiquidIce", ucid = "cbee92e628c9d9769d8ddcb384a7a813", ip = "5.70.135.153:49729", id = 12} said "just incase your wondering im the one shooting from the destroyer  in novo port" to all
CHAT: Jan 01 23:15:53 {name  = "=BRK= Krinkel", ucid = "531bf02a84683d98726a4058a673a38d", ip = "82.72.244.221:51012", id = 5} said "whahahaha CJ" to all
CHAT: Jan 01 23:16:06 {name  = "=BRK= Krinkel", ucid = "531bf02a84683d98726a4058a673a38d", ip = "82.72.244.221:51012", id = 5} said "you made sure he had enough aim120s on m" to all
CHAT: Jan 01 23:34:03 {name  = "Robert", ucid = "7d37c2bff3c43718265fefb3a2729e3d", ip = "109.195.163.159:49645", id = 16} said "Xalara - Русский?" to all
CHAT: Jan 01 23:34:22 {name  = "CORMAC | ogaruu", ucid = "36822add4ed4d446acb1ca04e5e1e34a", ip = "188.27.184.45:29587", id = 20} said "i cant get the hud to come up on the a10a?" to all
CHAT: Jan 01 23:34:27 {name  = "CORMAC | ogaruu", ucid = "36822add4ed4d446acb1ca04e5e1e34a", ip = "188.27.184.45:29587", id = 20} said "im flying fine tho..." to all
CHAT: Jan 01 23:42:49 {name  = "Robert", ucid = "7d37c2bff3c43718265fefb3a2729e3d", ip = "109.195.163.159:49645", id = 16} said "Xalara давай мочи аэр осы нет Kill all on airport Sa-8 dead" to all
TEAM HIT: Jan 01 23:50:49 {players = {1 = {name  = "CORMAC | ogaruu", ucid = "36822add4ed4d446acb1ca04e5e1e34a", ip = "188.27.184.45:29587", id = 20}1 = {name = BLUE_NOVO#001-01 with AGM-65D
TEAM KILL: Jan 01 23:50:49 {players = {1 = {name  = "CORMAC | ogaruu", ucid = "36822add4ed4d446acb1ca04e5e1e34a", ip = "nil", id = 20}1 = {name = BLUE_NOVO#001-01 with AGM-65D
CHAT: Jan 02 00:12:26 {name  = "Robert", ucid = "7d37c2bff3c43718265fefb3a2729e3d", ip = "109.195.163.159:49645", id = 16} said "Who want to fly on one F-14B?" to all
CHAT: Jan 02 00:12:36 {name  = "Robert", ucid = "7d37c2bff3c43718265fefb3a2729e3d", ip = "109.195.163.159:49645", id = 16} said "I pilot" to all
CHAT: Jan 02 00:12:38 {name  = "Robert", ucid = "7d37c2bff3c43718265fefb3a2729e3d", ip = "109.195.163.159:49645", id = 16} said "=)" to all
CHAT: Jan 02 00:13:21 {name  = "Robert", ucid = "7d37c2bff3c43718265fefb3a2729e3d", ip = "109.195.163.159:49645", id = 16} said "No one Ok" to all
TEAM HIT: Jan 02 00:16:47 {players = {1 = {name  = "Kaus", ucid = "87cb35c6d195f3171b0c0cc5329c79b6", ip = "84.182.145.49:58623", id = 18}1 = {name = MaxiHaxi with AIM-120C
TEAM KILL: Jan 02 00:18:03 {players = {1 = {name  = "Kaus", ucid = "87cb35c6d195f3171b0c0cc5329c79b6", ip = "nil", id = 18}1 = {name = MaxiHaxi with AIM-120C
TEAM HIT: Jan 02 00:21:13 {players = {1 = {name  = "Kaus", ucid = "87cb35c6d195f3171b0c0cc5329c79b6", ip = "84.182.145.49:58623", id = 18}1 = {name = Ecko with AIM-120C
