TEAM HIT: Apr 15 14:23:16 {players = {1 = {name  = "gamerbwoi", ucid = "865991b143d0b5b733fdb64c9df03396", ip = "84.64.218.117:65236", id = 22}1 = {name = Unpacked M 818 #41 with S-8KOM
TEAM KILL: Apr 15 14:23:16 {players = {1 = {name  = "gamerbwoi", ucid = "865991b143d0b5b733fdb64c9df03396", ip = "nil", id = 22}1 = {name = Unpacked M 818 #41 with S-8KOM
CHAT: Apr 15 14:36:38 {name  = "General ButtNaked", ucid = "e700d06c4683bc55100cec9a23386fb9", ip = "84.28.82.2:51326", id = 10} said "only 1 house left at aleppo. You can do it !" to all
CHAT: Apr 15 14:36:46 {name  = "General ButtNaked", ucid = "e700d06c4683bc55100cec9a23386fb9", ip = "84.28.82.2:51326", id = 10} said "I have faith in you" to all
CHAT: Apr 15 14:36:52 {name  = "Drunken 1-1 | NightFlier", ucid = "36077f03a726297e37d61d3a4fe04ac5", ip = "151.65.159.191:50835", id = 6} said "Is OverlordBot working?" to all
CHAT: Apr 15 14:37:18 {name  = "General ButtNaked", ucid = "e700d06c4683bc55100cec9a23386fb9", ip = "84.28.82.2:51326", id = 10} said "@hellhound" to all
CHAT: Apr 15 14:38:02 {name  = "General ButtNaked", ucid = "e700d06c4683bc55100cec9a23386fb9", ip = "84.28.82.2:51326", id = 10} said "awesome @" to all
CHAT: Apr 15 14:45:45 {name  = "Steff", ucid = "14e436792dbed8ccc21254f263195d81", ip = "193.83.27.85:64980", id = 5} said "thx for the suppor vega" to all
CHAT: Apr 15 14:46:00 {name  = "Steff", ucid = "14e436792dbed8ccc21254f263195d81", ip = "193.83.27.85:64980", id = 5} said "sorry for the bumps. i tried the new autopilot function" to all
CHAT: Apr 15 14:56:36 {name  = "Vega", ucid = "367aeb83b9e4766ab8d47ccb3cf47422", ip = "100.4.56.147:55268", id = 31} said "Naied the 3 wire. nice" to all
CHAT: Apr 15 14:57:10 {name  = "Steff", ucid = "14e436792dbed8ccc21254f263195d81", ip = "193.83.27.85:64980", id = 5} said "def nailed it xD smashed it into the ship haha" to all
CHAT: Apr 15 14:57:19 {name  = "Steff", ucid = "14e436792dbed8ccc21254f263195d81", ip = "193.83.27.85:64980", id = 5} said "lucky 3 wire" to all
CHAT: Apr 15 14:57:26 {name  = "LAXGUNNER", ucid = "ffea225b542cce4d557cb605d17205eb", ip = "68.33.191.226:53777", id = 39} said "nice" to all
CHAT: Apr 15 14:57:37 {name  = "Vega", ucid = "367aeb83b9e4766ab8d47ccb3cf47422", ip = "100.4.56.147:55268", id = 31} said "I am good at hitting all the wires but the 3rd haha" to all
CHAT: Apr 15 14:57:54 {name  = "Vega", ucid = "367aeb83b9e4766ab8d47ccb3cf47422", ip = "100.4.56.147:55268", id = 31} said "Got to run Have a good day all" to all
CHAT: Apr 15 14:57:58 {name  = "Steff", ucid = "14e436792dbed8ccc21254f263195d81", ip = "193.83.27.85:64980", id = 5} said ":-D" to all
TEAM HIT: Apr 15 15:04:49 {players = {1 = {name  = "Demir", ucid = "e9587ad16d04904fdd22d8eac6094fc8", ip = "178.241.12.56:20807", id = 26}1 = {name = 07_BLUE_UNITS_JIRAH#001-06 with AGM-65D
TEAM KILL: Apr 15 15:04:49 {players = {1 = {name  = "Demir", ucid = "e9587ad16d04904fdd22d8eac6094fc8", ip = "nil", id = 26}1 = {name = 07_BLUE_UNITS_JIRAH#001-06 with AGM-65D
