CHAT: Apr 15 17:14:46 {name  = "Ikaros", ucid = "0dde2cc8f5a1dd62d5c62a63183765a3", ip = "79.130.34.68:62003", id = 22} said "why no love for the vanilla A10C ?" to all
CHAT: Apr 15 17:32:53 {name  = "JeVole", ucid = "1a759af077b67179e38e46e73bf32276", ip = "62.35.186.39:57922", id = 19} said "is it clear to go to sochi with gbu ?" to all
TEAM HIT: Apr 15 17:34:32 {players = {1 = {name  = "[Desert Lynx 1-1] Florian", ucid = "aa71ec5708234cec77de18c7670955ff", ip = "95.90.234.53:20667", id = 15}1 = {name = TAW_Spectrum with AIM-120C-5
TEAM KILL: Apr 15 17:34:42 {players = {1 = {name  = "[Desert Lynx 1-1] Florian", ucid = "aa71ec5708234cec77de18c7670955ff", ip = "nil", id = 15}1 = {name = TAW_Spectrum with AIM-120C-5
TEAM HIT: Apr 15 17:34:52 {players = {1 = {name  = "Habu 1-2 | Pear", ucid = "760d16c5ab8030d6e95a8ecb10deea15", ip = "27.0.20.23:50201", id = 6}1 = {name = [Desert Lynx 1-1] Florian with AIM-9X
TEAM KILL: Apr 15 17:35:04 {players = {1 = {name  = "Habu 1-2 | Pear", ucid = "760d16c5ab8030d6e95a8ecb10deea15", ip = "nil", id = 6}1 = {name = [Desert Lynx 1-1] Florian with AIM-9X
CHAT: Apr 15 17:35:05 {name  = "TAW_Spectrum", ucid = "29e3464d281f5d1239989d34071b8e82", ip = "5.71.2.19:58084", id = 24} said "-forgive" to all (output suppressed by Slmod)
CHAT: Apr 15 17:35:13 {name  = "Buffalo", ucid = "d858c5678952777083dd03357de829c6", ip = "178.27.138.81:49699", id = 32} said "i am so  fucking sorry dude xD" to all
CHAT: Apr 15 17:35:21 {name  = "[Desert Lynx 1-1] Florian", ucid = "aa71ec5708234cec77de18c7670955ff", ip = "95.90.234.53:20667", id = 15} said "np mate" to all
CHAT: Apr 15 17:35:36 {name  = "Sortwein", ucid = "ac3c348cdbbe2381deef0aafa8a09f51", ip = "107.135.37.154:51413", id = 9} said "what just happened lol" to all
CHAT: Apr 15 17:35:50 {name  = "Sortwein", ucid = "ac3c348cdbbe2381deef0aafa8a09f51", ip = "107.135.37.154:51413", id = 9} said "watched half our friendly aircraft go kaboom" to all
CHAT: Apr 15 17:35:58 {name  = "Sortwein", ucid = "ac3c348cdbbe2381deef0aafa8a09f51", ip = "107.135.37.154:51413", id = 9} said "lol" to all
CHAT: Apr 15 17:36:16 {name  = "[Desert Lynx 1-1] Florian", ucid = "aa71ec5708234cec77de18c7670955ff", ip = "95.90.234.53:20667", id = 15} said "wait now i am confused" to all
CHAT: Apr 15 17:37:19 {name  = "Buffalo", ucid = "d858c5678952777083dd03357de829c6", ip = "178.27.138.81:49699", id = 32} said "i crashed into an FA18 on  the side  of the rwy i think  it wasnt you haha" to all
CHAT: Apr 15 17:38:15 {name  = "[Desert Lynx 1-1] Florian", ucid = "aa71ec5708234cec77de18c7670955ff", ip = "95.90.234.53:20667", id = 15} said "ok wait i think i got it. I got team killed then someone choose to forgive me  and then i got" to all
TEAM HIT: Apr 15 17:38:22 {players = {1 = {name  = "pmrootek", ucid = "be0f54b88736df9fbec270fdafa0a5c2", ip = "176.221.122.77:43359", id = 27}1 = {name = sisco25 with R-27ET (AA-10 Alamo D)
CHAT: Apr 15 17:38:25 {name  = "[Desert Lynx 1-1] Florian", ucid = "aa71ec5708234cec77de18c7670955ff", ip = "95.90.234.53:20667", id = 15} said "another message that i got teamkilled" to all
TEAM HIT: Apr 15 17:38:25 {players = {1 = {name  = "pmrootek", ucid = "be0f54b88736df9fbec270fdafa0a5c2", ip = "176.221.122.77:43359", id = 27}1 = {name = sisco25 with R-27ET (AA-10 Alamo D)
CHAT: Apr 15 17:40:30 {name  = "Cruncher", ucid = "cff8c0dd7174f057bc53fed0bd24d3a7", ip = "218.212.198.31:52891", id = 6} said "any bases left..." to all
