CHAT: Apr 19 15:43:42 {name  = "Cecemel", ucid = "565a95bb1086f56c4adc7f838b1754fa", ip = "178.117.32.13:50712", id = 2} said "f" to all
TEAM HIT: Apr 19 16:11:16 {players = {1 = {name  = "Kisi", ucid = "d6c47bc98cf9633bffb8d1ae4ff9e2f7", ip = "83.8.65.63:50364", id = 15}1 = {name = 3-4 /Hentai with R-73 (AA-11 Archer)
TEAM KILL: Apr 19 16:11:48 {players = {1 = {name  = "Kisi", ucid = "d6c47bc98cf9633bffb8d1ae4ff9e2f7", ip = "nil", id = 15}1 = {name = 3-4 /Hentai with R-73 (AA-11 Archer)
CHAT: Apr 19 16:12:36 {name  = "3-4 /Hentai", ucid = "0cedbfbcb46db73655274f72f585613b", ip = "83.44.180.213:63822", id = 12} said "-punish" to all (output suppressed by Slmod)
CHAT: Apr 19 16:13:08 {name  = "3-4 /Hentai", ucid = "0cedbfbcb46db73655274f72f585613b", ip = "83.44.180.213:63822", id = 12} said "sincererly fuck u" to all
CHAT: Apr 19 16:13:37 {name  = "MilkSucker69", ucid = "74dfea3a539ed5cb5883868683cd1057", ip = "94.227.142.37:49899", id = 6} said "lol" to all
CHAT: Apr 19 16:15:06 {name  = "MilkSucker69", ucid = "74dfea3a539ed5cb5883868683cd1057", ip = "94.227.142.37:49899", id = 6} said "enemy jf right over the FARP" to all
CHAT: Apr 19 16:15:13 {name  = "Cobra 132 | Rick1perquin", ucid = "3d52ea557707100164c7f0b9e340f9ab", ip = "77.165.140.244:58307", id = 3} said "i am soo sorry lol" to all
CHAT: Apr 19 16:15:37 {name  = "Icarus 1-2 | Izzy", ucid = "bdfcfcd0206351645bf3ab462e592751", ip = "71.192.66.110:52910", id = 10} said "thats not the runway" to all
CHAT: Apr 19 16:16:17 {name  = "3-4 /Hentai", ucid = "0cedbfbcb46db73655274f72f585613b", ip = "83.44.180.213:63822", id = 12} said "tikka?" to all
CHAT: Apr 19 16:16:21 {name  = "Cobra 132 | Rick1perquin", ucid = "3d52ea557707100164c7f0b9e340f9ab", ip = "77.165.140.244:58307", id = 3} said "i am trying to figure out the tpod on the harrier again,and wanted to do a stol" to all
CHAT: Apr 19 16:16:39 {name  = "Jurici", ucid = "2d68070eeeacb8aface0090c0b681d03", ip = "46.223.140.205:50444", id = 4} said "yo Izzy my dog has that exact name haha" to all
CHAT: Apr 19 16:17:15 {name  = "Tikka", ucid = "c17f8ae31e187fe8345abf1a0301f863", ip = "80.221.133.159:50259", id = 16} said "hey hentai! =)" to all
CHAT: Apr 19 16:18:50 {name  = "Lügenbaron aus NRW", ucid = "bb06de5d99c767a6c6c3e87b1b91bc68", ip = "91.9.126.243:51196", id = 21} said "2 F-16's at Sochi" to all
CHAT: Apr 19 16:21:20 {name  = "MilkSucker69", ucid = "74dfea3a539ed5cb5883868683cd1057", ip = "94.227.142.37:49899", id = 6} said "enemy right above me" to all
CHAT: Apr 19 16:22:28 {name  = "Verdasriuba", ucid = "5eaa34ae528fbfc67a61219ff547ae53", ip = "87.247.114.226:25806", id = 9} said "lele" to all
CHAT: Apr 19 16:22:33 {name  = "Verdasriuba", ucid = "5eaa34ae528fbfc67a61219ff547ae53", ip = "87.247.114.226:25806", id = 9} said "l o l" to all
CHAT: Apr 19 16:22:43 {name  = "Verdasriuba", ucid = "5eaa34ae528fbfc67a61219ff547ae53", ip = "87.247.114.226:25806", id = 9} said "last second managed to hit" to all
CHAT: Apr 19 16:22:47 {name  = "Verdasriuba", ucid = "5eaa34ae528fbfc67a61219ff547ae53", ip = "87.247.114.226:25806", id = 9} said "with a gun" to all
CHAT: Apr 19 16:23:04 {name  = "Jurici", ucid = "2d68070eeeacb8aface0090c0b681d03", ip = "46.223.140.205:50444", id = 4} said "i had only just noticed you" to all
CHAT: Apr 19 16:23:12 {name  = "Jurici", ucid = "2d68070eeeacb8aface0090c0b681d03", ip = "46.223.140.205:50444", id = 4} said "was busy dealing with 2 other fighters" to all
CHAT: Apr 19 16:23:15 {name  = "Jurici", ucid = "2d68070eeeacb8aface0090c0b681d03", ip = "46.223.140.205:50444", id = 4} said "nice kill!" to all
CHAT: Apr 19 16:23:52 {name  = "Verdasriuba", ucid = "5eaa34ae528fbfc67a61219ff547ae53", ip = "87.247.114.226:25806", id = 9} said "you friend killed me a second after i ripped you stabilizer" to all
CHAT: Apr 19 16:24:20 {name  = "Jurici", ucid = "2d68070eeeacb8aface0090c0b681d03", ip = "46.223.140.205:50444", id = 4} said "i owe him a drink i guess" to all
CHAT: Apr 19 16:24:27 {name  = "Jurici", ucid = "2d68070eeeacb8aface0090c0b681d03", ip = "46.223.140.205:50444", id = 4} said "did you manage to bail out?" to all
CHAT: Apr 19 16:26:37 {name  = "MilkSucker69", ucid = "74dfea3a539ed5cb5883868683cd1057", ip = "94.227.142.37:49899", id = 6} said "being a chopper pilot is so frustrating" to all
CHAT: Apr 19 16:28:08 {name  = "MilkSucker69", ucid = "74dfea3a539ed5cb5883868683cd1057", ip = "94.227.142.37:49899", id = 6} said "enemy at my farp" to all
CHAT: Apr 19 16:32:53 {name  = "Lügenbaron aus NRW", ucid = "bb06de5d99c767a6c6c3e87b1b91bc68", ip = "91.9.126.243:51196", id = 21} said "Inbound Maykop Mig-29" to all
CHAT: Apr 19 16:36:23 {name  = "Tikka", ucid = "c17f8ae31e187fe8345abf1a0301f863", ip = "80.221.133.159:50282", id = 17} said "-motd" to all (output suppressed by Slmod)
CHAT: Apr 19 16:36:41 {name  = "Tikka", ucid = "c17f8ae31e187fe8345abf1a0301f863", ip = "80.221.133.159:50282", id = 17} said "-stats" to all (output suppressed by Slmod)
CHAT: Apr 19 16:36:50 {name  = "Tikka", ucid = "c17f8ae31e187fe8345abf1a0301f863", ip = "80.221.133.159:50282", id = 17} said "-stats me" to all (output suppressed by Slmod)
CHAT: Apr 19 16:37:52 {name  = "Tikka", ucid = "c17f8ae31e187fe8345abf1a0301f863", ip = "80.221.133.159:50282", id = 17} said "afk brb" to all
CHAT: Apr 19 16:38:48 {name  = "MilkSucker69", ucid = "74dfea3a539ed5cb5883868683cd1057", ip = "94.227.142.37:49899", id = 6} said "need some CAP" to all
CHAT: Apr 19 16:40:05 {name  = "Ghostriderrr", ucid = "5c30ee1eb0c73e0c0b3e9b5a5fd9eb29", ip = "77.236.208.121:52858", id = 32} said "hi mig 29" to all
CHAT: Apr 19 16:40:13 {name  = "Ghostriderrr", ucid = "5c30ee1eb0c73e0c0b3e9b5a5fd9eb29", ip = "77.236.208.121:52858", id = 32} said "am you angel" to all
CHAT: Apr 19 16:43:21 {name  = "MilkSucker69", ucid = "74dfea3a539ed5cb5883868683cd1057", ip = "94.227.142.37:49899", id = 6} said "cmonnnn" to all
CHAT: Apr 19 16:43:33 {name  = "MilkSucker69", ucid = "74dfea3a539ed5cb5883868683cd1057", ip = "94.227.142.37:49899", id = 6} said "almost had a 12-kill sortie" to all
CHAT: Apr 19 16:43:48 {name  = "Cobra 132 | Rick1perquin", ucid = "3d52ea557707100164c7f0b9e340f9ab", ip = "77.165.140.244:58307", id = 3} said "lol :)" to all
CHAT: Apr 19 16:43:52 {name  = "MilkSucker69", ucid = "74dfea3a539ed5cb5883868683cd1057", ip = "94.227.142.37:49899", id = 6} said "a lot of troops at sochi are dead" to all
CHAT: Apr 19 16:44:02 {name  = "Cobra 132 | Rick1perquin", ucid = "3d52ea557707100164c7f0b9e340f9ab", ip = "77.165.140.244:58307", id = 3} said "sorry but you were killing my ground troops" to all
CHAT: Apr 19 16:44:06 {name  = "MilkSucker69", ucid = "74dfea3a539ed5cb5883868683cd1057", ip = "94.227.142.37:49899", id = 6} said "u plane people keep bullying the chopper people xd" to all
CHAT: Apr 19 16:46:02 {name  = "Tikka", ucid = "c17f8ae31e187fe8345abf1a0301f863", ip = "80.221.133.159:50282", id = 17} said "back" to all
TEAM HIT: Apr 19 16:54:30 {players = {1 = {name  = "Kisi", ucid = "d6c47bc98cf9633bffb8d1ae4ff9e2f7", ip = "83.8.65.63:50364", id = 15}1 = {name = Bennett with R-27ET (AA-10 Alamo D)
TEAM KILL: Apr 19 16:54:39 {players = {1 = {name  = "Kisi", ucid = "d6c47bc98cf9633bffb8d1ae4ff9e2f7", ip = "nil", id = 15}1 = {name = Bennett with R-27ET (AA-10 Alamo D)
CHAT: Apr 19 16:55:10 {name  = "WheelBrake", ucid = "dea493b708fbb7bbb867e91f3fe4aada", ip = "70.82.30.220:60403", id = 2} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "Cobra 132 | Rick1perquin", ucid = "3d52ea557707100164c7f0b9e340f9ab", ip = "77.165.140.244:58307", id = 3} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "Jake \"Sully\"", ucid = "a10a77d0a03a44912cef2b0a2ad05114", ip = "74.71.231.23:54097", id = 4} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "IMPI", ucid = "b7be1b0918f7a55d1d91f003ed30b47b", ip = "165.165.140.148:52517", id = 5} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "MilkSucker69", ucid = "74dfea3a539ed5cb5883868683cd1057", ip = "94.227.142.37:49899", id = 6} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "Termi", ucid = "c9e1f3752fb0b8a2d653a6893d2d0120", ip = "83.33.156.143:61239", id = 7} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "Steven hel", ucid = "248dac73e32fb428c37b6cfeafed1ccd", ip = "82.65.23.83:51738", id = 8} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "Bum", ucid = "42e9556d60d7395e665f5189302a7528", ip = "87.101.253.149:64929", id = 9} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "Fatel", ucid = "641404734ffd0eb066567f551b1aebde", ip = "188.6.196.242:64368", id = 10} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "concreteair", ucid = "f1eb4e4beb060c52c54cbb3349fd81be", ip = "82.164.184.87:52349", id = 11} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "Akub Goldberg", ucid = "838ae6eedad70700ffe51a3e81290a2e", ip = "93.213.209.24:51651", id = 12} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "OH | Candela", ucid = "b70f6909f978eed7413d88a22d4b92c4", ip = "85.26.121.142:52073", id = 13} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "Slam 1-1│FlyingPadre", ucid = "2f94375f60816f6813e0edab3dedc320", ip = "81.51.244.133:50541", id = 14} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
