CHAT: Apr 15 07:34:04 {name  = "KAMRAAM", ucid = "9f6cafdee85d3b47c8e24d1f81c60d00", ip = "71.237.93.213:65300", id = 4} said "knight try to request launch from the ground crew menu" to all
CHAT: Apr 15 07:34:30 {name  = "VMFA-314 | Knight 1-1", ucid = "616d9a82b7c0c08ba4368f9b846e4dc1", ip = "87.167.218.135:62802", id = 2} said "I did... several times" to all
CHAT: Apr 15 08:10:48 {name  = "nibby 1-1", ucid = "21ef5bc0e8dbc03efcb413a39d3b52d5", ip = "67.160.214.44:56270", id = 5} said "tomcat go for the su33" to all
CHAT: Apr 15 08:15:28 {name  = "Havik86", ucid = "879b9e9c4d199ff538b1b2b3e1362252", ip = "153.254.157.228:65217", id = 9} said "peewee u can take off first." to all
TEAM HIT: Apr 15 08:15:44 {players = {1 = {name  = "nibby 1-1", ucid = "21ef5bc0e8dbc03efcb413a39d3b52d5", ip = "67.160.214.44:56270", id = 5}1 = {name = KAMRAAM with S-24B (21)
TEAM HIT: Apr 15 08:15:45 {players = {1 = {name  = "nibby 1-1", ucid = "21ef5bc0e8dbc03efcb413a39d3b52d5", ip = "67.160.214.44:56270", id = 5}1 = {name = KAMRAAM with S-24A (21)
CHAT: Apr 15 08:32:43 {name  = "Havik86", ucid = "879b9e9c4d199ff538b1b2b3e1362252", ip = "153.254.157.228:65217", id = 9} said "two migs flying together friendly?" to all
CHAT: Apr 15 08:43:38 {name  = "Havik86", ucid = "879b9e9c4d199ff538b1b2b3e1362252", ip = "153.254.157.228:65217", id = 9} said "Tommi i'll take off with you if that's ok." to all
CHAT: Apr 15 08:44:52 {name  = "Tommi_89", ucid = "0bfbcf58c89c8906de7c64b639300a08", ip = "147.161.26.217:51899", id = 7} said "ok" to all
CHAT: Apr 15 08:45:13 {name  = "Havik86", ucid = "879b9e9c4d199ff538b1b2b3e1362252", ip = "153.254.157.228:65217", id = 9} said "gotta finish rearming and refueling. i'm carrying HARMs and 120s." to all
CHAT: Apr 15 08:45:29 {name  = "Tommi_89", ucid = "0bfbcf58c89c8906de7c64b639300a08", ip = "147.161.26.217:51899", id = 7} said "ok" to all
CHAT: Apr 15 08:48:59 {name  = "Havik86", ucid = "879b9e9c4d199ff538b1b2b3e1362252", ip = "153.254.157.228:65217", id = 9} said "rollin" to all
CHAT: Apr 15 09:31:37 {name  = "[Desert Lynx 1-1] Florian", ucid = "aa71ec5708234cec77de18c7670955ff", ip = "95.90.234.53:20677", id = 10} said "Is something wrong with the server" to all
CHAT: Apr 15 09:31:37 {name  = "[Desert Lynx 1-1] Florian", ucid = "aa71ec5708234cec77de18c7670955ff", ip = "95.90.234.53:20677", id = 10} said "I cant switch slots" to all
CHAT: Apr 15 09:31:38 {name  = "RIO in need of pilot", ucid = "9dc22cfed0bb42167f1c17162f393e27", ip = "73.202.39.26:50205", id = 2} said "did the server crash?" to all
