CHAT: Apr 15 19:56:35 {name  = "Atec", ucid = "418f1c552c1ecbb1bc8843084e452390", ip = "95.91.198.172:1335", id = 7} said "good kill ^^" to all
CHAT: Apr 15 19:59:46 {name  = "Seb \"Locust\"", ucid = "5c7ccbe2b64ff134106e4bc7f6ab45bb", ip = "99.96.117.30:51737", id = 15} said "Are there blue markers for close friendlies?" to all
TEAM HIT: Apr 15 20:13:52 {players = {1 = {name  = "Apex 1-3 | Sey", ucid = "584f4a90b5e7053f24aa45114b842a91", ip = "84.149.191.231:49187", id = 38}1 = {name = Apex 1-1 I Hardy with AIM-120C-5
TEAM KILL: Apr 15 20:14:15 {players = {1 = {name  = "Apex 1-3 | Sey", ucid = "584f4a90b5e7053f24aa45114b842a91", ip = "nil", id = 38}1 = {name = Apex 1-1 I Hardy with AIM-120C-5
CHAT: Apr 15 20:14:38 {name  = "SlavBoy", ucid = "5b6b711d1fd271b25b7b8f4f8cebadda", ip = "87.123.199.219:7946", id = 14} said "Why does my engine randomly starts burning?" to all
TEAM HIT: Apr 15 20:21:25 {players = {1 = {name  = "HUNAF_Ghostbacsi", ucid = "bb5bef13d28d06fcf858bd218324a323", ip = "46.35.192.39:55226", id = 35}1 = {name = [PTF](OR)Zeus 1-1 with R-77 (AA-12 Adder)
CHAT: Apr 15 20:22:12 {name  = "[PTF](OR)Zeus 1-1", ucid = "78a1acf911b376394ffbcaa92cbc0e07", ip = "42.201.229.109:33924", id = 30} said "Stupid ppl dont know how to IFF" to all
TEAM KILL: Apr 15 20:22:20 {players = {1 = {name  = "HUNAF_Ghostbacsi", ucid = "bb5bef13d28d06fcf858bd218324a323", ip = "nil", id = 35}1 = {name = [PTF](OR)Zeus 1-1 with R-77 (AA-12 Adder)
CHAT: Apr 15 20:22:39 {name  = "[PTF](OR)Zeus 1-1", ucid = "78a1acf911b376394ffbcaa92cbc0e07", ip = "42.201.229.109:33924", id = 30} said "punish" to all
CHAT: Apr 15 20:22:55 {name  = "Edward | Stingray 4-1", ucid = "e4f888c1cb8f3be3335136f7514b324e", ip = "95.5.25.203:65329", id = 40} said "turn your DL on shitheads" to all
CHAT: Apr 15 20:23:23 {name  = "[PTF](OR)Zeus 1-1", ucid = "78a1acf911b376394ffbcaa92cbc0e07", ip = "42.201.229.109:33924", id = 30} said "-punish" to all (output suppressed by Slmod)
CHAT: Apr 15 20:23:32 {name  = "[PTF](OR)Zeus 1-1", ucid = "78a1acf911b376394ffbcaa92cbc0e07", ip = "42.201.229.109:33924", id = 30} said "punish" to all
CHAT: Apr 15 20:23:49 {name  = "[PTF](OR)Zeus 1-1", ucid = "78a1acf911b376394ffbcaa92cbc0e07", ip = "42.201.229.109:33924", id = 30} said "kick him out hard" to all
CHAT: Apr 15 20:25:22 {name  = "Firestarter_76", ucid = "89e34067315b0690104ff9c454650ea9", ip = "94.252.121.72:18310", id = 26} said "blue" to all
CHAT: Apr 15 20:27:41 {name  = "Edward | Stingray 4-1", ucid = "e4f888c1cb8f3be3335136f7514b324e", ip = "95.5.25.203:65329", id = 40} said "WTF DID THEY DO TO AIM-9X" to all
CHAT: Apr 15 20:27:50 {name  = "Apex 1-1 I Hardy", ucid = "3ed45259980dd460d3f27d27a3cf4082", ip = "81.217.210.88:57621", id = 11} said "GF lol ^^" to all
CHAT: Apr 15 20:27:57 {name  = "Edward | Stingray 4-1", ucid = "e4f888c1cb8f3be3335136f7514b324e", ip = "95.5.25.203:65329", id = 40} said "it was but" to all
CHAT: Apr 15 20:27:59 {name  = "Edward | Stingray 4-1", ucid = "e4f888c1cb8f3be3335136f7514b324e", ip = "95.5.25.203:65329", id = 40} said "holy hell" to all
CHAT: Apr 15 20:28:10 {name  = "Edward | Stingray 4-1", ucid = "e4f888c1cb8f3be3335136f7514b324e", ip = "95.5.25.203:65329", id = 40} said "that was at least a 60G pull" to all
CHAT: Apr 15 20:28:12 {name  = "Apex 1-1 I Hardy", ucid = "3ed45259980dd460d3f27d27a3cf4082", ip = "81.217.210.88:57621", id = 11} said "yeah 180 easy turn and chase me down no prob" to all
CHAT: Apr 15 20:28:17 {name  = "Wolf 1-1 Pydo", ucid = "042181eabca6b4f9fe24e52bda5aa012", ip = "84.90.97.239:62538", id = 14} said "form flying?!" to all
CHAT: Apr 15 20:28:23 {name  = "Edward | Stingray 4-1", ucid = "e4f888c1cb8f3be3335136f7514b324e", ip = "95.5.25.203:65329", id = 40} said "christ" to all
CHAT: Apr 15 20:28:36 {name  = "Wolf 1-1 Pydo", ucid = "042181eabca6b4f9fe24e52bda5aa012", ip = "84.90.97.239:62538", id = 14} said "Guys, f18 on the ground wanna form flying?!" to all
CHAT: Apr 15 20:29:23 {name  = "Edward | Stingray 4-1", ucid = "e4f888c1cb8f3be3335136f7514b324e", ip = "95.5.25.203:65329", id = 40} said "good god the AIM-9X's are so brutal now" to all
CHAT: Apr 15 20:29:41 {name  = "Edward | Stingray 4-1", ucid = "e4f888c1cb8f3be3335136f7514b324e", ip = "95.5.25.203:65329", id = 40} said "too bad Russian's didn't make an equivalent until very recently" to all
