CHAT: Jul 05 18:52:45 {name  = "Bouncer", ucid = "744fd6e07fef726ab97081def38534ae", ip = "94.195.35.143:54362", id = 3} said "we cant lauch because u cant land scary" to all
CHAT: Jul 06 03:57:50 {name  = "|269| Kay-PO", ucid = "311aa55a3572efab9cff0e191ea16206", ip = "75.65.169.131:1042", id = 9} said "we see you up there" to all
CHAT: Jul 06 03:57:58 {name  = "|269| Kay-PO", ucid = "311aa55a3572efab9cff0e191ea16206", ip = "75.65.169.131:1042", id = 9} said "mr new hotnes" to all
CHAT: Jul 06 05:10:09 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "if tombstone is able to land in that hawk site and kill it with door gunners... I will laugh so hard" to all
CHAT: Jul 06 05:10:49 {name  = "Box 1-3 | Femur", ucid = "8bf206f79653ad9a5a776ade3eef3191", ip = "98.210.75.237:50545", id = 2} said "it's possible. I hit the patriot site with the huey in the 4ya caucases" to all
CHAT: Jul 06 05:11:00 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "LOL when its stupid but it works...." to all
CHAT: Jul 06 05:11:14 {name  = "Box 1-3 | Femur", ucid = "8bf206f79653ad9a5a776ade3eef3191", ip = "98.210.75.237:50545", id = 2} said "Huey SEAD" to all
CHAT: Jul 06 05:13:21 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "LOL he made it... Get some" to all
TEAM HIT: Jul 06 05:27:22 {players = {1 = {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10}1 = {name = 07_BLUE_UNITS_KHALKHALAH#001-02 with CBU-97/CBU-105 SFW
TEAM KILL: Jul 06 05:27:22 {players = {1 = {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "nil", id = 10}1 = {name = 07_BLUE_UNITS_KHALKHALAH#001-02 with CBU-97/CBU-105 SFW
CHAT: Jul 06 06:09:16 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "wow this server died out quick" to all
CHAT: Jul 06 06:09:46 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "those 269 guys always jet when hotness logs" to all
CHAT: Jul 06 06:12:38 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "oh didnt know if you heard... next update Viper is only getting 2 harms not 4" to all
CHAT: Jul 06 06:12:52 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "also no Jsow "C" modle for Viper now..." to all
CHAT: Jul 06 06:13:06 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "only "A" model will be available" to all
CHAT: Jul 06 06:13:36 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "Also rumors that they are ditching releasing the "Sniper Pod" on the Viper also" to all
CHAT: Jul 06 06:14:00 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "doesnt suprise me\" to all
CHAT: Jul 06 06:14:15 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "i see how dcs works now" to all
CHAT: Jul 06 06:14:49 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "make an op plane get everybody to buy.. then dumb it down" to all
CHAT: Jul 06 06:15:39 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "Yeah thats messed up.... I feel Like they at least owe us a Block 52 version" to all
CHAT: Jul 06 06:16:13 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "Block 50 doesn't have enough air to ground options now... especially since they are taking harms" to all
CHAT: Jul 06 06:16:17 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "off the inner pylons" to all
CHAT: Jul 06 06:17:49 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "i cant really be upset. f16 is too op" to all
CHAT: Jul 06 06:18:13 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "yeah but are they going to do the same bullshit to the F-15E ???" to all
CHAT: Jul 06 06:18:25 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "lol you betcha" to all
CHAT: Jul 06 06:18:39 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "LOL make it God Tier on release then nerf it" to all
CHAT: Jul 06 06:18:46 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "yep" to all
CHAT: Jul 06 06:19:11 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "smart marketing honestly" to all
CHAT: Jul 06 06:19:30 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "smart until we catch on to whats going on" to all
