CHAT: Jun 06 07:54:14 {name  = "Lizard 1-1 | Pete H", ucid = "d5162045c380ecd0599c32257c241608", ip = "67.193.208.31:55606", id = 9} said "emerg land Aleppo" to all
CHAT: Jun 06 08:03:15 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "ive got the thrill" to all
CHAT: Jun 06 08:03:26 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "the thrill to kill" to all
CHAT: Jun 06 08:16:26 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "striker do you align your mavs prior to takeoff f16?" to all
CHAT: Jun 06 08:16:38 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "NOPE.... just use vis mode no TGP" to all
CHAT: Jun 06 08:16:58 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "i turn them on before taking off but i dont boresight them to TGP" to all
CHAT: Jun 06 08:17:14 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "i need to give that atry" to all
CHAT: Jun 06 08:17:21 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "its faster" to all
CHAT: Jun 06 08:17:36 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "yah thats all ive learned so far" to all
CHAT: Jun 06 08:19:08 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "i got so frustrated with tgp i stopped using f16 for a/g" to all
CHAT: Jun 06 08:19:43 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "i almost never use TGP for air to ground in F-16" to all
CHAT: Jun 06 08:20:02 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "seems like you have it sorted out" to all
CHAT: Jun 06 08:20:21 {name  = "silver", ucid = "6ee413deff87286ef128785b1443db2a", ip = "64.79.56.204:56689", id = 6} said "why no tgp? i use and its fine" to all
CHAT: Jun 06 08:20:34 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "do you align your mavs?" to all
CHAT: Jun 06 08:21:09 {name  = "Janitor 1-1 Father Earth", ucid = "171987a226faa63cfdfbd1dc2ebf1d5d", ip = "104.32.18.28:61298", id = 3} said "corn i gotchu" to all
CHAT: Jun 06 08:21:43 {name  = "Janitor 1-1 Father Earth", ucid = "171987a226faa63cfdfbd1dc2ebf1d5d", ip = "104.32.18.28:61298", id = 3} said "Yeah you boresight each rack then every lock on TGP will handoff to mav lock" to all
CHAT: Jun 06 08:21:58 {name  = "Janitor 1-1 Father Earth", ucid = "171987a226faa63cfdfbd1dc2ebf1d5d", ip = "104.32.18.28:61298", id = 3} said "I have a short 7min video about it if you want!" to all
CHAT: Jun 06 08:22:31 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "i just stick to vis mode... unless you are going to take a shot over 10 miles at high altitude" to all
CHAT: Jun 06 08:22:41 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "yah ill checkit out.. im multitasking atm" to all
CHAT: Jun 06 08:22:51 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "I just stick with vis mode... under 10 miles at 10000 feet seems to work well for me" to all
CHAT: Jun 06 08:23:23 {name  = "Janitor 1-1 Father Earth", ucid = "171987a226faa63cfdfbd1dc2ebf1d5d", ip = "104.32.18.28:61298", id = 3} said "https://www.twitch.tv/videos/997362418" to all
CHAT: Jun 06 08:23:28 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "boresight takes too long imo" to all
CHAT: Jun 06 08:24:06 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "k ill check it outafter motogp" to all
CHAT: Jun 06 08:26:22 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "vis mode is the only way i can ripple 6 mavs in one pass" to all
CHAT: Jun 06 08:26:44 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "thats what i want" to all
CHAT: Jun 06 08:26:48 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "at 10 or less miles i can see the target on my hud... up the box near the target" to all
CHAT: Jun 06 08:26:55 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "then use my MFD to get the lock" to all
CHAT: Jun 06 08:31:17 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "you dont sound like an old man father lol" to all
CHAT: Jun 06 08:32:18 {name  = "Janitor 1-1 Father Earth", ucid = "171987a226faa63cfdfbd1dc2ebf1d5d", ip = "104.32.18.28:61298", id = 3} said "not in this reality :]" to all
CHAT: Jun 06 08:34:30 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "thats a solid vid.. going to give it a shot" to all
CHAT: Jun 06 08:36:00 {name  = "Janitor 1-1 Father Earth", ucid = "171987a226faa63cfdfbd1dc2ebf1d5d", ip = "104.32.18.28:61298", id = 3} said "ty sir" to all
CHAT: Jun 06 08:37:48 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "you will notice no TGP when i take mavericks" to all
CHAT: Jun 06 08:38:43 {name  = "Janitor 1-1 Father Earth", ucid = "171987a226faa63cfdfbd1dc2ebf1d5d", ip = "104.32.18.28:61298", id = 3} said "with how fiddly the falcon is with weight distribution that makes sense" to all
CHAT: Jun 06 08:38:53 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "yeah it helps" to all
CHAT: Jun 06 08:39:19 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "well its not that.. if youi fly hoggit missions you fly at night sometimes" to all
CHAT: Jun 06 08:39:31 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "i use TGP in A10 for maverick shots past 5 miles anything closer I use Just the seeker head" to all
CHAT: Jun 06 08:39:40 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "yeah at night you would need TGP" to all
CHAT: Jun 06 08:40:14 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "thats what made me buy the a10cII" to all
CHAT: Jun 06 08:40:27 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "or id probably fly the ac10a forever" to all
CHAT: Jun 06 08:40:40 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "a10c has the best TGP in the game in my opinion" to all
CHAT: Jun 06 08:42:05 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "they used to have a md for night vision for a10a but it doesnt work anymore" to all
CHAT: Jun 06 08:42:05 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "you will want to learn how to use harms / create your own waypoints with the F-16 as well" to all
CHAT: Jun 06 08:42:22 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "The range on harms is over powered as hell" to all
CHAT: Jun 06 08:42:27 {name  = "Janitor 1-1 Father Earth", ucid = "171987a226faa63cfdfbd1dc2ebf1d5d", ip = "104.32.18.28:61298", id = 3} said "key points" to all
