CHAT: Jul 24 15:07:18 {name  = "Panther 1-1", ucid = "fa5c4a32ff77970dca672ae9495f18dd", ip = "178.4.249.95:50169", id = 2} said "Yoooooooooooo" to all
CHAT: Jul 24 17:57:58 {name  = "GreyCat_SPb", ucid = "2534dbad9f36ddab28e2979a4fd98cf2", ip = "93.185.28.106:39495", id = 3} said "Helloi USA friend! I am drink 2 liter of Vermot and need build air defense sustem" to all
CHAT: Jul 24 17:58:24 {name  = "GreyCat_SPb", ucid = "2534dbad9f36ddab28e2979a4fd98cf2", ip = "93.185.28.106:39495", id = 3} said "Sorry bad english" to all
CHAT: Jul 24 17:58:59 {name  = "GreyCat_SPb", ucid = "2534dbad9f36ddab28e2979a4fd98cf2", ip = "93.185.28.106:39495", id = 3} said "I am write whith ot" to all
CHAT: Jul 24 17:59:30 {name  = "GreyCat_SPb", ucid = "2534dbad9f36ddab28e2979a4fd98cf2", ip = "93.185.28.106:39495", id = 3} said "I write whith out transleitor" to all
CHAT: Jul 24 18:08:23 {name  = "WipeUout", ucid = "9e140575c680f845f391bea9c7f88048", ip = "178.152.24.186:59133", id = 2} said "Hey GreyCat, do you have some time?  Trying to beat this mission...  Going for the HQ in the south." to all
CHAT: Jul 24 18:11:16 {name  = "GreyCat_SPb", ucid = "2534dbad9f36ddab28e2979a4fd98cf2", ip = "93.185.28.106:57187", id = 3} said "I'll bring Bolder and Henderson." to all
CHAT: Jul 24 22:37:35 {name  = "Stroke-1 Wojtek", ucid = "396fb38e33a8efc1601cf9f56593a7dd", ip = "82.11.92.30:59052", id = 3} said "-admin restart" to all (output suppressed by Slmod)
CHAT: Jul 24 22:37:35 {name  = "[VFA-113] 311 Chip", ucid = "f1b7c5e7f714e660634e0a3c0ad0fd3f", ip = "76.14.254.28:49568", id = 2} said "Slmod: admin "Wojtek1378" is restarting the mission." to all
CHAT: Jul 24 22:37:35 {name  = "Stroke-1 Wojtek", ucid = "396fb38e33a8efc1601cf9f56593a7dd", ip = "82.11.92.30:59052", id = 3} said "Slmod: admin "Wojtek1378" is restarting the mission." to all
CHAT: Jul 24 22:37:46 {name  = "Stroke-1 Wojtek", ucid = "396fb38e33a8efc1601cf9f56593a7dd", ip = "82.11.92.30:59052", id = 3} said "srrrry" to all
TEAM HIT: Jul 25 19:08:19 {players = {1 = {name  = "WipeUout", ucid = "9e140575c680f845f391bea9c7f88048", ip = "178.152.24.186:50265", id = 3}1 = {name = Unit #073 with CBU-97/CBU-105 SFW
TEAM HIT: Jul 25 19:08:20 {players = {1 = {name  = "WipeUout", ucid = "9e140575c680f845f391bea9c7f88048", ip = "178.152.24.186:50265", id = 3}1 = {name = Unit #073 with CBU-97/CBU-105 SFW
TEAM KILL: Jul 25 19:09:24 {players = {1 = {name  = "WipeUout", ucid = "9e140575c680f845f391bea9c7f88048", ip = "nil", id = 3}1 = {name = Unit #073 with CBU-97/CBU-105 SFW
TEAM HIT: Jul 25 20:13:06 {players = {1 = {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:52039", id = 2}1 = {name = Unit #100 with CBU-97/CBU-105 SFW
TEAM KILL: Jul 25 20:13:06 {players = {1 = {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "nil", id = 2}1 = {name = Unit #100 with CBU-97/CBU-105 SFW
CHAT: Jul 25 20:56:32 {name  = "HAWK 1-1 | Norsegunar", ucid = "3734dfa34c4f594ecd1b12ccabc4157a", ip = "94.140.8.121:26717", id = 8} said "-motd" to all (output suppressed by Slmod)
CHAT: Jul 25 21:02:08 {name  = "Metrod7278", ucid = "edee006dab7dda02432c4e222ee62ef2", ip = "108.18.121.51:1052", id = 5} said "how to get the ai off you back when they have you sdightred in?" to all
CHAT: Jul 25 21:03:18 {name  = "CaptSriracha", ucid = "b5fb9006cb13f255a7e5953513274159", ip = "97.103.242.2:63794", id = 7} said "tini, first bandit is yours. ill support" to all
CHAT: Jul 25 21:03:52 {name  = "TINIII", ucid = "a0ac92e5e0d326a90915d70cac4dec33", ip = "188.194.174.152:54257", id = 4} said "i god nooooo fuel :D :D :D" to all
CHAT: Jul 25 21:04:04 {name  = "CaptSriracha", ucid = "b5fb9006cb13f255a7e5953513274159", ip = "97.103.242.2:63794", id = 7} said "copy im in" to all
CHAT: Jul 25 21:05:04 {name  = "Metrod7278", ucid = "edee006dab7dda02432c4e222ee62ef2", ip = "108.18.121.51:1052", id = 5} said "`hey guys if  a bandit has me on their tail hopw do i get out of their sights" to all
CHAT: Jul 25 21:09:12 {name  = "TINIII", ucid = "a0ac92e5e0d326a90915d70cac4dec33", ip = "188.194.174.152:54257", id = 4} said "LOOOOLLLL That was awesome :D i am still alive with zero fuel on the ground :D :D :D :D" to all
CHAT: Jul 25 21:09:38 {name  = "CaptSriracha", ucid = "b5fb9006cb13f255a7e5953513274159", ip = "97.103.242.2:63794", id = 7} said "lol well done mate" to all
CHAT: Jul 29 00:54:39 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "restart" to all
CHAT: Jul 29 00:56:31 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "-restart" to all
CHAT: Jul 29 00:56:46 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "-conv" to all (output suppressed by Slmod)
CHAT: Jul 29 00:57:37 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "-help" to all (output suppressed by Slmod)
CHAT: Jul 29 00:58:15 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "-help" to all (output suppressed by Slmod)
CHAT: Jul 29 00:58:25 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "-vote" to all (output suppressed by Slmod)
CHAT: Jul 29 00:58:50 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "-vote restart" to all (output suppressed by Slmod)
CHAT: Jul 29 00:59:14 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "-vote restart" to all (output suppressed by Slmod)
CHAT: Jul 29 01:02:43 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "-vote restart" to all (output suppressed by Slmod)
