CHAT: Dec 26 17:27:56 {name  = "GUYVER ARMOR", ucid = "120a9e8c560d276712a1d1b970aa810c", ip = "12.207.220.78:51619", id = 2} said "uff u too" to all
CHAT: Dec 26 17:50:17 {name  = "week.ru", ucid = "fc7ea152666b35df7243b09ac7f9d7e4", ip = "86.110.170.122:52659", id = 8} said "potato! с тебя бутылка пива!)" to all
CHAT: Dec 26 18:11:46 {name  = "week.ru", ucid = "fc7ea152666b35df7243b09ac7f9d7e4", ip = "86.110.170.122:52659", id = 8} said "thx! fuel0!" to all
CHAT: Dec 26 18:14:34 {name  = "Fitihunta32", ucid = "447a58525994942e8212e9030d9282df", ip = "91.5.160.85:53477", id = 31} said "wut?" to all
CHAT: Dec 26 18:38:16 {name  = "Badger", ucid = "832985be4629fa370b27e6a2f0b91f12", ip = "105.244.29.8:50070", id = 15} said "inbound anapa" to all
CHAT: Dec 26 19:20:57 {name  = "Badger", ucid = "832985be4629fa370b27e6a2f0b91f12", ip = "105.244.29.8:50070", id = 15} said "inbound kryms" to all
TEAM HIT: Dec 26 19:29:31 {players = {1 = {name  = "Darth_Sativa", ucid = "1c175ea499d442092b8d2c1a81a23b22", ip = "96.20.41.87:49434", id = 8}1 = {name = SOUTH CVN with F/A-18C Lot 20
CHAT: Dec 26 20:03:02 {name  = "Ghost", ucid = "7f171c68a757dc3d3f2a39ac3f466efa", ip = "196.50.247.252:64081", id = 14} said "yo wtf dude" to all
CHAT: Dec 26 20:03:29 {name  = "SnapScorpion", ucid = "8a8b9283eb39a53d779b66b1fe0729d3", ip = "72.181.11.239:61591", id = 4} said "yo wtf" to all
CHAT: Dec 26 20:03:41 {name  = "PreenDog", ucid = "bce46b4eb57a50043384ba25b4fcc032", ip = "75.155.21.177:56475", id = 22} said "yo" to all
CHAT: Dec 26 20:03:41 {name  = "Ghost", ucid = "7f171c68a757dc3d3f2a39ac3f466efa", ip = "196.50.247.252:64081", id = 14} said "<3" to all
CHAT: Dec 26 20:10:50 {name  = "PreenDog", ucid = "bce46b4eb57a50043384ba25b4fcc032", ip = "75.155.21.177:56475", id = 22} said "Nice one Rag3Quit" to all
CHAT: Dec 26 20:11:10 {name  = "xiRag3Quitx", ucid = "31c0b6d93b8da6f88cef20429e7e6a14", ip = "72.130.210.245:60361", id = 13} said "ah got the strela with gun anyway before spaa killed me" to all
CHAT: Dec 26 20:11:19 {name  = "xiRag3Quitx", ucid = "31c0b6d93b8da6f88cef20429e7e6a14", ip = "72.130.210.245:60361", id = 13} said "worth" to all
CHAT: Dec 26 20:11:47 {name  = "PreenDog", ucid = "bce46b4eb57a50043384ba25b4fcc032", ip = "75.155.21.177:56475", id = 22} said "It is cool that you can gun the strela before it can shoot" to all
CHAT: Dec 26 20:12:09 {name  = "xiRag3Quitx", ucid = "31c0b6d93b8da6f88cef20429e7e6a14", ip = "72.130.210.245:60361", id = 13} said "surprised it didnt had harms but there were no radar pings to shoot" to all
CHAT: Dec 26 20:29:31 {name  = "PreenDog", ucid = "bce46b4eb57a50043384ba25b4fcc032", ip = "75.155.21.177:56475", id = 22} said "gun gun gun gun" to all
CHAT: Dec 26 20:29:38 {name  = "PreenDog", ucid = "bce46b4eb57a50043384ba25b4fcc032", ip = "75.155.21.177:56475", id = 22} said "aw" to all
CHAT: Dec 26 20:30:25 {name  = "Jubbs", ucid = "44fef393b7208d406ac464a929a0726f", ip = "70.172.66.194:57396", id = 10} said "lol" to all
CHAT: Dec 26 20:30:34 {name  = "Jubbs", ucid = "44fef393b7208d406ac464a929a0726f", ip = "70.172.66.194:57396", id = 10} said "i just learned how to shoot and im very bad" to all
CHAT: Dec 26 20:30:53 {name  = "sassy", ucid = "deb7fe0db0dc23a454a2b26df3095719", ip = "102.250.6.53:59305", id = 16} said "i learned how to shoot my frogfoot" to all
CHAT: Dec 26 20:31:04 {name  = "Jubbs", ucid = "44fef393b7208d406ac464a929a0726f", ip = "70.172.66.194:57396", id = 10} said "thats what im in" to all
CHAT: Dec 26 20:31:18 {name  = "xiRag3Quitx", ucid = "31c0b6d93b8da6f88cef20429e7e6a14", ip = "72.130.210.245:60361", id = 13} said "winchester rtb" to all
CHAT: Dec 26 20:31:47 {name  = "PreenDog", ucid = "bce46b4eb57a50043384ba25b4fcc032", ip = "75.155.21.177:56475", id = 22} said "Rag cool kids go to sochi" to all
CHAT: Dec 26 20:32:19 {name  = "xiRag3Quitx", ucid = "31c0b6d93b8da6f88cef20429e7e6a14", ip = "72.130.210.245:60361", id = 13} said "if we only had sochi =(" to all
CHAT: Dec 26 20:32:27 {name  = "PreenDog", ucid = "bce46b4eb57a50043384ba25b4fcc032", ip = "75.155.21.177:56475", id = 22} said "All the targets are gun-permeable" to all
CHAT: Dec 26 20:33:11 {name  = "xiRag3Quitx", ucid = "31c0b6d93b8da6f88cef20429e7e6a14", ip = "72.130.210.245:60361", id = 13} said "ok i'll go throw some rounds" to all
